ds,time,y
18/08/2568,9:00,1.38
18/08/2568,8:00,1.54
18/08/2568,7:00,1.78
18/08/2568,6:00,2.1
18/08/2568,5:00,2.47
18/08/2568,4:00,2.72
18/08/2568,3:00,2.94
18/08/2568,2:00,3.02
18/08/2568,1:00,3.14
18/08/2568,0:00,3.23
17/08/2568,23:00,3.39
17/08/2568,22:00,3.48
17/08/2568,21:00,3.71
17/08/2568,20:00,3.85
17/08/2568,19:00,4.04
17/08/2568,18:00,4.05
17/08/2568,17:00,3.93
17/08/2568,16:00,3.69
17/08/2568,15:00,3.33
17/08/2568,14:00,2.93
17/08/2568,13:00,2.48
17/08/2568,12:00,2
17/08/2568,11:00,1.76
17/08/2568,10:00,1.53
17/08/2568,9:00,1.45
17/08/2568,8:00,1.57
17/08/2568,7:00,1.63
17/08/2568,6:00,1.87
17/08/2568,5:00,2.1
17/08/2568,4:00,2.32
17/08/2568,3:00,2.6
17/08/2568,2:00,2.75
17/08/2568,1:00,2.94
17/08/2568,0:00,3.11
16/08/2568,23:00,3.29
16/08/2568,22:00,3.43
16/08/2568,21:00,3.56
16/08/2568,20:00,3.68
16/08/2568,19:00,3.9
16/08/2568,18:00,3.94
16/08/2568,17:00,3.9
16/08/2568,16:00,3.8
16/08/2568,15:00,3.53
16/08/2568,14:00,3.25
16/08/2568,13:00,2.83
16/08/2568,12:00,2.51
16/08/2568,11:00,2.09
16/08/2568,10:00,1.78
16/08/2568,9:00,1.53
16/08/2568,8:00,1.51
16/08/2568,7:00,1.54
16/08/2568,6:00,1.72
16/08/2568,5:00,1.86
16/08/2568,4:00,2.07
16/08/2568,3:00,2.31
16/08/2568,2:00,2.59
16/08/2568,1:00,2.83
16/08/2568,0:00,3.04
15/08/2568,23:00,3.27
15/08/2568,22:00,3.42
15/08/2568,21:00,3.5
15/08/2568,20:00,3.68
15/08/2568,19:00,3.7
15/08/2568,18:00,3.74
15/08/2568,17:00,3.75
15/08/2568,16:00,3.67
15/08/2568,15:00,3.55
15/08/2568,14:00,3.38
15/08/2568,13:00,3.16
15/08/2568,12:00,2.84
15/08/2568,11:00,2.49
15/08/2568,10:00,2.22
15/08/2568,9:00,1.96
15/08/2568,8:00,1.76
15/08/2568,7:00,1.58
15/08/2568,6:00,1.57
15/08/2568,5:00,1.65
15/08/2568,4:00,1.85
15/08/2568,3:00,2.08
15/08/2568,2:00,2.37
15/08/2568,1:00,2.7
15/08/2568,0:00,2.9
14/08/2568,23:00,3.24
14/08/2568,22:00,3.35
14/08/2568,21:00,3.49
14/08/2568,20:00,3.53
14/08/2568,19:00,3.47
14/08/2568,18:00,3.51
14/08/2568,17:00,3.47
14/08/2568,16:00,3.41
14/08/2568,15:00,3.35
14/08/2568,14:00,3.28
14/08/2568,13:00,3.17
14/08/2568,12:00,3.08
14/08/2568,11:00,2.86
14/08/2568,10:00,2.64
14/08/2568,9:00,2.37
14/08/2568,8:00,2.1
14/08/2568,7:00,1.85
14/08/2568,6:00,1.64
14/08/2568,5:00,1.62
14/08/2568,4:00,1.81
14/08/2568,3:00,2.05
14/08/2568,2:00,2.25
14/08/2568,1:00,2.64
14/08/2568,0:00,2.93
13/08/2568,23:00,3.29
13/08/2568,22:00,3.42
13/08/2568,21:00,3.67
13/08/2568,20:00,3.39
13/08/2568,19:00,3.52
13/08/2568,18:00,3.27
13/08/2568,17:00,3.1
13/08/2568,16:00,3.05
13/08/2568,15:00,2.98
13/08/2568,14:00,3.04
13/08/2568,13:00,3.09
13/08/2568,12:00,3.11
13/08/2568,11:00,3.07
13/08/2568,10:00,2.96
13/08/2568,9:00,2.7
13/08/2568,8:00,2.32
13/08/2568,7:00,2.03
13/08/2568,6:00,1.72
13/08/2568,5:00,1.66
13/08/2568,4:00,1.73
13/08/2568,3:00,1.97
13/08/2568,2:00,2.22
13/08/2568,1:00,2.53
13/08/2568,0:00,3.05
12/8/2568,23:00,3.26
12/8/2568,22:00,3.65
12/8/2568,21:00,3.66
12/8/2568,20:00,3.66
12/8/2568,19:00,3.43
12/8/2568,18:00,3.07
12/8/2568,17:00,2.77
12/8/2568,16:00,2.57
12/8/2568,15:00,2.55
12/8/2568,14:00,2.64
12/8/2568,13:00,2.78
12/8/2568,12:00,2.98
12/8/2568,11:00,3.07
12/8/2568,10:00,3.14
12/8/2568,9:00,3.09
12/8/2568,8:00,2.85
12/8/2568,7:00,2.5
12/8/2568,6:00,2.14
12/8/2568,5:00,1.86
12/8/2568,4:00,1.87
12/8/2568,3:00,2.07
12/8/2568,2:00,2.3
12/8/2568,1:00,2.71
12/8/2568,0:00,3.02
11/8/2568,23:00,3.59
11/8/2568,22:00,3.79
11/8/2568,21:00,3.89
11/8/2568,20:00,3.77
11/8/2568,19:00,3.52
11/8/2568,18:00,3.12
11/8/2568,17:00,2.65
11/8/2568,16:00,2.31
11/8/2568,15:00,2.19
11/8/2568,14:00,2.18
11/8/2568,13:00,2.38
11/8/2568,12:00,2.65
11/8/2568,11:00,2.87
11/8/2568,10:00,3.04
11/8/2568,9:00,3.03
11/8/2568,8:00,2.95
11/8/2568,7:00,2.71
11/8/2568,6:00,2.3
11/8/2568,5:00,1.96
11/8/2568,4:00,1.86
11/8/2568,3:00,2.01
11/8/2568,2:00,2.2
11/8/2568,1:00,2.6
11/8/2568,0:00,3
10/8/2568,23:00,3.4
10/8/2568,22:00,3.66
10/8/2568,21:00,3.77
10/8/2568,20:00,3.71
10/8/2568,19:00,3.41
10/8/2568,18:00,2.95
10/8/2568,17:00,2.44
10/8/2568,16:00,2.09
10/8/2568,15:00,1.87
10/8/2568,14:00,1.89
10/8/2568,13:00,2.07
10/8/2568,12:00,2.38
10/8/2568,11:00,2.73
10/8/2568,10:00,3
10/8/2568,9:00,3.16
10/8/2568,8:00,3.17
10/8/2568,7:00,2.95
10/8/2568,6:00,2.65
10/8/2568,5:00,2.32
10/8/2568,4:00,2.17
10/8/2568,3:00,2.22
10/8/2568,2:00,2.38
10/8/2568,1:00,2.68
10/8/2568,0:00,3.14
9/8/2568,23:00,3.5
9/8/2568,22:00,3.86
9/8/2568,21:00,3.98
9/8/2568,20:00,3.93
9/8/2568,19:00,3.69
9/8/2568,18:00,3.28
9/8/2568,17:00,2.6
9/8/2568,16:00,2.06
9/8/2568,15:00,1.73
9/8/2568,14:00,1.65
9/8/2568,13:00,1.8
9/8/2568,12:00,2.05
9/8/2568,11:00,2.47
9/8/2568,10:00,2.92
9/8/2568,9:00,3.15
9/8/2568,8:00,3.31
9/8/2568,7:00,3.29
9/8/2568,6:00,3.05
9/8/2568,5:00,2.71
9/8/2568,4:00,2.51
9/8/2568,3:00,2.33
9/8/2568,2:00,2.5
9/8/2568,1:00,2.64
9/8/2568,0:00,3.08
8/8/2568,23:00,3.51
8/8/2568,22:00,3.84
8/8/2568,21:00,3.95
8/8/2568,20:00,3.9
8/8/2568,19:00,3.71
8/8/2568,18:00,3.21
8/8/2568,17:00,2.61
8/8/2568,16:00,1.95
8/8/2568,15:00,1.4
8/8/2568,14:00,1.33
8/8/2568,13:00,1.48
8/8/2568,12:00,1.71
8/8/2568,11:00,2.1
8/8/2568,10:00,2.44
8/8/2568,9:00,2.87
8/8/2568,8:00,3.11
8/8/2568,7:00,3.21
8/8/2568,6:00,3.21
8/8/2568,5:00,2.95
8/8/2568,4:00,2.63
8/8/2568,3:00,2.49
8/8/2568,2:00,2.49
8/8/2568,1:00,2.68
