??????,????,????????
16/07/2568,23:00,3.96
16/07/2568,22:00,4.08
16/07/2568,21:00,3.99
16/07/2568,20:00,3.71
16/07/2568,19:00,3.21
16/07/2568,18:00,2.56
16/07/2568,17:00,1.99
16/07/2568,16:00,1.57
16/07/2568,15:00,1.23
16/07/2568,14:00,1.37
16/07/2568,13:00,1.63
16/07/2568,12:00,2
16/07/2568,11:00,2.4
16/07/2568,10:00,2.72
16/07/2568,9:00,3.03
16/07/2568,8:00,3.09
16/07/2568,7:00,3.06
16/07/2568,6:00,2.75
16/07/2568,5:00,2.59
16/07/2568,4:00,2.64
16/07/2568,3:00,2.68
16/07/2568,2:00,2.86
16/07/2568,1:00,3.18
16/07/2568,0:00,3.46
15/07/2568,23:00,3.89
15/07/2568,22:00,4.09
15/07/2568,21:00,3.96
15/07/2568,20:00,3.76
15/07/2568,19:00,3.32
15/07/2568,18:00,2.65
15/07/2568,17:00,1.94
15/07/2568,16:00,1.37
15/07/2568,15:00,1.13
15/07/2568,14:00,1.24
15/07/2568,13:00,1.43
15/07/2568,12:00,1.74
15/07/2568,11:00,2.15
15/07/2568,10:00,2.5
15/07/2568,9:00,2.87
15/07/2568,8:00,3.13
15/07/2568,7:00,3.29
15/07/2568,6:00,3.11
15/07/2568,5:00,2.98
15/07/2568,4:00,2.79
15/07/2568,3:00,2.92
15/07/2568,2:00,2.97
15/07/2568,1:00,3.13
15/07/2568,0:00,3.44
14/07/2568,23:00,3.81
14/07/2568,22:00,4.1
14/07/2568,21:00,4.04
14/07/2568,20:00,3.75
14/07/2568,19:00,3.68
14/07/2568,18:00,2.98
14/07/2568,17:00,2.29
14/07/2568,16:00,1.58
14/07/2568,15:00,1.14
14/07/2568,14:00,1.08
14/07/2568,13:00,1.22
14/07/2568,12:00,1.42
14/07/2568,11:00,1.75
14/07/2568,10:00,2.12
14/07/2568,9:00,2.55
14/07/2568,8:00,2.84
14/07/2568,7:00,3.11
14/07/2568,6:00,3.12
14/07/2568,5:00,3.04
14/07/2568,4:00,2.89
14/07/2568,3:00,2.9
14/07/2568,2:00,2.94
14/07/2568,1:00,3.16
14/07/2568,0:00,3.39
13/07/2568,23:00,3.61
13/07/2568,22:00,4.06
13/07/2568,21:00,4.03
13/07/2568,20:00,3.93
13/07/2568,19:00,3.61
13/07/2568,18:00,3.21
13/07/2568,17:00,2.51
13/07/2568,16:00,1.81
13/07/2568,15:00,1.26
13/07/2568,14:00,1.02
13/07/2568,13:00,1.12
13/07/2568,12:00,1.29
13/07/2568,11:00,1.53
13/07/2568,10:00,1.9
13/07/2568,9:00,2.29
13/07/2568,8:00,2.62
13/07/2568,7:00,2.83
13/07/2568,6:00,3
13/07/2568,5:00,3.12
13/07/2568,4:00,3.01
13/07/2568,3:00,2.92
13/07/2568,2:00,2.96
13/07/2568,1:00,3.12
13/07/2568,0:00,3.36
12/7/2568,23:00,3.62
12/7/2568,22:00,3.74
12/7/2568,21:00,4.14
12/7/2568,20:00,4.17
12/7/2568,19:00,3.97
12/7/2568,18:00,3.61
12/7/2568,17:00,2.89
12/7/2568,16:00,2.21
12/7/2568,15:00,1.63
12/7/2568,14:00,1.06
12/7/2568,13:00,1.07
12/7/2568,12:00,1.18
12/7/2568,11:00,1.38
12/7/2568,10:00,1.64
12/7/2568,9:00,1.95
12/7/2568,8:00,2.32
12/7/2568,7:00,2.7
12/7/2568,6:00,2.94
12/7/2568,5:00,3.01
12/7/2568,4:00,3.02
12/7/2568,3:00,2.94
12/7/2568,2:00,3.02
12/7/2568,1:00,3.05
12/7/2568,0:00,3.26
11/7/2568,23:00,3.49
11/7/2568,22:00,3.76
11/7/2568,21:00,4.02
11/7/2568,20:00,4.09
11/7/2568,19:00,3.87
11/7/2568,18:00,3.62
11/7/2568,17:00,3.19
11/7/2568,16:00,2.58
11/7/2568,15:00,1.9
11/7/2568,14:00,1.33
11/7/2568,13:00,1.04
11/7/2568,12:00,1.1
11/7/2568,11:00,1.23
11/7/2568,10:00,1.43
11/7/2568,9:00,1.72
11/7/2568,8:00,2.03
11/7/2568,7:00,2.35
11/7/2568,6:00,2.62
11/7/2568,5:00,2.89
11/7/2568,4:00,2.96
11/7/2568,3:00,3.03
11/7/2568,2:00,2.97
11/7/2568,1:00,3.14
11/7/2568,0:00,3.24
10/7/2568,23:00,3.49
10/7/2568,22:00,3.73
10/7/2568,21:00,3.95
10/7/2568,20:00,4.18
10/7/2568,19:00,4.09
10/7/2568,18:00,3.85
10/7/2568,17:00,3.54
10/7/2568,16:00,3.03
10/7/2568,15:00,2.43
10/7/2568,14:00,1.81
10/7/2568,13:00,1.35
10/7/2568,12:00,1.07
10/7/2568,11:00,1.16
10/7/2568,10:00,1.31
10/7/2568,9:00,1.55
10/7/2568,8:00,1.81
10/7/2568,7:00,2.13
10/7/2568,6:00,2.46
10/7/2568,5:00,2.72
10/7/2568,4:00,2.91
10/7/2568,3:00,2.99
10/7/2568,2:00,2.98
10/7/2568,1:00,2.97
10/7/2568,0:00,3.08
9/7/2568,23:00,3.22
9/7/2568,22:00,3.44
9/7/2568,21:00,3.65
9/7/2568,20:00,3.88
9/7/2568,19:00,3.99
9/7/2568,18:00,3.91
9/7/2568,17:00,3.66
9/7/2568,16:00,3.26
9/7/2568,15:00,2.88
9/7/2568,14:00,2.2
9/7/2568,13:00,1.57
9/7/2568,12:00,1.28
9/7/2568,11:00,1.11
9/7/2568,10:00,1.15
9/7/2568,9:00,1.3
9/7/2568,8:00,1.48
9/7/2568,7:00,1.74
9/7/2568,6:00,2.09
9/7/2568,5:00,2.39
9/7/2568,4:00,2.62
9/7/2568,3:00,2.78
9/7/2568,2:00,2.95
9/7/2568,1:00,3.06
9/7/2568,0:00,3.03
8/7/2568,23:00,3.2
8/7/2568,22:00,3.27
8/7/2568,21:00,3.46
8/7/2568,20:00,3.79
8/7/2568,19:00,3.67
8/7/2568,18:00,3.84
8/7/2568,17:00,3.7
8/7/2568,16:00,3.44
8/7/2568,15:00,3.01
8/7/2568,14:00,2.61
8/7/2568,13:00,2.2
8/7/2568,12:00,1.84
8/7/2568,11:00,1.59
8/7/2568,10:00,1.46
8/7/2568,9:00,1.43
8/7/2568,8:00,1.6
8/7/2568,7:00,1.85
8/7/2568,6:00,2.2
8/7/2568,5:00,2.39
8/7/2568,4:00,2.59
8/7/2568,3:00,2.81
8/7/2568,2:00,3.05
8/7/2568,1:00,3.17
8/7/2568,0:00,3.04
7/7/2568,23:00,3.16
7/7/2568,22:00,3.3
7/7/2568,21:00,3.49
7/7/2568,20:00,3.55
7/7/2568,19:00,3.61
7/7/2568,18:00,3.79
7/7/2568,17:00,3.77
7/7/2568,16:00,3.62
7/7/2568,15:00,3.28
7/7/2568,14:00,3.05
7/7/2568,13:00,2.64
7/7/2568,12:00,2.24
7/7/2568,11:00,1.86
7/7/2568,10:00,1.46
7/7/2568,9:00,1.56
7/7/2568,8:00,1.58
7/7/2568,7:00,1.69
7/7/2568,6:00,1.93
7/7/2568,5:00,2.24
7/7/2568,4:00,2.49
7/7/2568,3:00,2.81
7/7/2568,2:00,3.06
7/7/2568,1:00,3.3
7/7/2568,0:00,3.44
