à¸§à¸±à¸à¸à¸µà¹,à¹à¸§à¸¥à¸²,à¸£à¸°à¸à¸±à¸à¸à¹à¸³
,,(à¸¡.)
16/06/2567,18:00,2.63
16/06/2567,17:00,2.46
16/06/2567,16:00,2.44
16/06/2567,15:00,2.38
16/06/2567,14:00,2.42
16/06/2567,13:00,2.32
16/06/2567,12:00,2.25
16/06/2567,11:00,2.19
16/06/2567,10:00,2.12
16/06/2567,9:00,1.99
16/06/2567,8:00,2.02
16/06/2567,7:00,2.05
16/06/2567,6:00,2.22
16/06/2567,5:00,2.41
16/06/2567,4:00,2.68
16/06/2567,3:00,2.99
16/06/2567,2:00,3.29
16/06/2567,1:00,3.48
16/06/2567,0:00,3.65
15/06/2567,23:00,3.55
15/06/2567,22:00,3.49
15/06/2567,21:00,3.22
15/06/2567,20:00,2.87
15/06/2567,19:00,2.49
15/06/2567,18:00,2.23
15/06/2567,17:00,2.04
15/06/2567,16:00,2
15/06/2567,15:00,2.07
15/06/2567,14:00,2.24
15/06/2567,13:00,2.31
15/06/2567,12:00,2.39
15/06/2567,11:00,2.55
15/06/2567,10:00,2.53
15/06/2567,9:00,2.48
15/06/2567,8:00,2.35
15/06/2567,7:00,2.34
15/06/2567,6:00,2.39
15/06/2567,5:00,2.45
15/06/2567,4:00,2.62
15/06/2567,3:00,2.93
15/06/2567,2:00,3.23
15/06/2567,1:00,3.42
15/06/2567,0:00,3.58
14/06/2567,23:00,3.62
14/06/2567,22:00,3.48
14/06/2567,21:00,3.2
14/06/2567,20:00,2.71
14/06/2567,19:00,2.37
14/06/2567,18:00,1.98
14/06/2567,17:00,1.68
14/06/2567,16:00,1.61
14/06/2567,15:00,1.67
14/06/2567,14:00,1.85
14/06/2567,13:00,2.09
14/06/2567,12:00,2.27
14/06/2567,11:00,2.47
14/06/2567,10:00,2.62
14/06/2567,9:00,2.61
14/06/2567,8:00,2.55
14/06/2567,7:00,2.45
14/06/2567,6:00,2.42
14/06/2567,5:00,2.44
14/06/2567,4:00,2.57
14/06/2567,3:00,2.85
14/06/2567,2:00,3.13
14/06/2567,1:00,3.4
14/06/2567,0:00,3.63
13/06/2567,23:00,3.67
13/06/2567,22:00,3.54
13/06/2567,21:00,3.23
13/06/2567,20:00,2.79
13/06/2567,19:00,2.27
13/06/2567,18:00,1.82
13/06/2567,17:00,1.43
13/06/2567,16:00,1.28
13/06/2567,15:00,1.34
13/06/2567,14:00,1.52
13/06/2567,13:00,1.75
13/06/2567,12:00,2.02
13/06/2567,11:00,2.28
13/06/2567,10:00,2.62
13/06/2567,9:00,2.74
13/06/2567,8:00,2.78
13/06/2567,7:00,2.78
13/06/2567,6:00,2.69
13/06/2567,5:00,2.75
13/06/2567,4:00,2.78
13/06/2567,3:00,2.97
13/06/2567,2:00,3.27
13/06/2567,1:00,3.5
13/06/2567,0:00,3.78
12/06/2567,23:00,3.86
12/06/2567,22:00,3.64
12/06/2567,21:00,3.4
12/06/2567,20:00,3.03
12/06/2567,19:00,2.54
12/06/2567,18:00,1.98
12/06/2567,17:00,1.56
12/06/2567,16:00,1.15
12/06/2567,15:00,1.16
12/06/2567,14:00,1.34
12/06/2567,13:00,1.59
12/06/2567,12:00,1.88
12/06/2567,11:00,2.22
12/06/2567,10:00,2.53
12/06/2567,9:00,2.9
12/06/2567,8:00,2.99
12/06/2567,7:00,3.02
12/06/2567,6:00,3.06
12/06/2567,5:00,3.01
12/06/2567,4:00,2.97
12/06/2567,3:00,3.07
12/06/2567,2:00,3.35
12/06/2567,1:00,3.55
12/06/2567,0:00,3.74
11/06/2567,23:00,3.95
11/06/2567,22:00,3.94
11/06/2567,21:00,3.83
11/06/2567,20:00,3.42
11/06/2567,19:00,2.83
11/06/2567,18:00,2.4
11/06/2567,17:00,1.72
11/06/2567,16:00,1.3
11/06/2567,15:00,1.11
11/06/2567,14:00,1.19
11/06/2567,13:00,1.36
11/06/2567,12:00,1.61
11/06/2567,11:00,1.9
11/06/2567,10:00,2.2
11/06/2567,9:00,2.67
11/06/2567,8:00,3.03
11/06/2567,7:00,3.25
11/06/2567,6:00,3.28
11/06/2567,5:00,3.19
11/06/2567,4:00,3.21
11/06/2567,3:00,3.12
11/06/2567,2:00,3.23
11/06/2567,1:00,3.31
11/06/2567,0:00,3.55
10/06/2567,23:00,3.87
10/06/2567,22:00,3.87
10/06/2567,21:00,3.8
10/06/2567,20:00,3.53
10/06/2567,19:00,3.24
10/06/2567,18:00,2.64
10/06/2567,17:00,1.94
10/06/2567,16:00,1.34
10/06/2567,15:00,1.14
10/06/2567,14:00,1.17
10/06/2567,13:00,1.31
10/06/2567,12:00,1.54
10/06/2567,11:00,1.92
10/06/2567,10:00,2.36
10/06/2567,9:00,2.65
10/06/2567,8:00,3.02
10/06/2567,7:00,3.2
10/06/2567,6:00,3.22
10/06/2567,5:00,3.29
10/06/2567,4:00,3.19
10/06/2567,3:00,3.11
10/06/2567,2:00,3.12
10/06/2567,1:00,3.31
10/06/2567,0:00,3.65
09/06/2567,23:00,3.99
09/06/2567,22:00,4.1
09/06/2567,21:00,4.15
09/06/2567,20:00,3.94
09/06/2567,19:00,3.72
09/06/2567,18:00,3.06
09/06/2567,17:00,2.36
09/06/2567,16:00,1.65
09/06/2567,15:00,1.01
09/06/2567,14:00,0.98
09/06/2567,13:00,1.12
09/06/2567,12:00,1.3
09/06/2567,11:00,1.54
09/06/2567,10:00,1.8
09/06/2567,9:00,2.13
09/06/2567,8:00,2.68
09/06/2567,7:00,3.38
09/06/2567,6:00,3.27
09/06/2567,5:00,3.34
09/06/2567,4:00,3.13
09/06/2567,3:00,3.05
09/06/2567,2:00,3.09
09/06/2567,1:00,3.2
09/06/2567,0:00,3.43
08/06/2567,23:00,3.77
08/06/2567,22:00,3.99
08/06/2567,21:00,4.11
08/06/2567,20:00,4.08
08/06/2567,19:00,3.81
08/06/2567,18:00,3.4
08/06/2567,17:00,2.8
08/06/2567,16:00,2.08
08/06/2567,15:00,1.32
08/06/2567,14:00,0.95
08/06/2567,13:00,1.03
08/06/2567,12:00,1.17
08/06/2567,11:00,1.37
08/06/2567,10:00,1.64
08/06/2567,9:00,1.97
08/06/2567,8:00,2.32
08/06/2567,7:00,2.71
08/06/2567,6:00,3.07
08/06/2567,5:00,3.24
08/06/2567,4:00,3.26
08/06/2567,3:00,3.22
08/06/2567,2:00,3.12
08/06/2567,1:00,3.16
08/06/2567,0:00,3.24
07/06/2567,23:00,3.47
07/06/2567,22:00,3.71
07/06/2567,21:00,3.98
07/06/2567,20:00,4.15
07/06/2567,19:00,4.02
07/06/2567,18:00,3.7
07/06/2567,17:00,3.26
07/06/2567,16:00,2.57
07/06/2567,15:00,1.79
07/06/2567,14:00,1.17
07/06/2567,13:00,0.94
07/06/2567,12:00,1.04
07/06/2567,11:00,1.2
07/06/2567,10:00,1.42
07/06/2567,9:00,1.71
07/06/2567,8:00,2.05
07/06/2567,7:00,2.46
07/06/2567,6:00,2.8
07/06/2567,5:00,3.04
07/06/2567,4:00,3.13
07/06/2567,3:00,3.08
07/06/2567,2:00,2.9
07/06/2567,1:00,2.9
07/06/2567,0:00,2.91
06/06/2567,23:00,3.03
06/06/2567,22:00,3.27
06/06/2567,21:00,3.69
06/06/2567,20:00,3.96
06/06/2567,19:00,4.01
06/06/2567,18:00,3.86
06/06/2567,17:00,3.6
06/06/2567,16:00,3.11
06/06/2567,15:00,2.41
06/06/2567,14:00,1.73
06/06/2567,13:00,1.14
06/06/2567,12:00,0.97
06/06/2567,11:00,1.07
06/06/2567,10:00,1.24
06/06/2567,9:00,1.53
06/06/2567,8:00,1.83
06/06/2567,7:00,2.16
06/06/2567,6:00,2.56
06/06/2567,5:00,2.9
06/06/2567,4:00,3.16
06/06/2567,3:00,3.21
06/06/2567,2:00,3.06
06/06/2567,1:00,2.93
06/06/2567,0:00,2.92
05/06/2567,23:00,2.91
05/06/2567,22:00,3.03
05/06/2567,21:00,3.27
05/06/2567,20:00,3.57
05/06/2567,19:00,3.79
05/06/2567,18:00,3.92
05/06/2567,17:00,3.78
05/06/2567,16:00,3.55
05/06/2567,15:00,3.13
05/06/2567,14:00,2.56
05/06/2567,13:00,1.88
05/06/2567,12:00,1.29
05/06/2567,11:00,1.12
05/06/2567,10:00,1.24
05/06/2567,9:00,1.44
05/06/2567,8:00,1.75
05/06/2567,7:00,2.07
05/06/2567,6:00,2.48
05/06/2567,5:00,2.86
05/06/2567,4:00,3.25
05/06/2567,3:00,3.48
05/06/2567,2:00,3.52
05/06/2567,1:00,3.37
05/06/2567,0:00,3.13
04/06/2567,23:00,3.02
04/06/2567,22:00,2.99
04/06/2567,21:00,3.05
04/06/2567,20:00,3.2
04/06/2567,19:00,3.41
04/06/2567,18:00,3.64
04/06/2567,17:00,3.72
04/06/2567,16:00,3.56
04/06/2567,15:00,3.33
04/06/2567,14:00,2.88
04/06/2567,13:00,2.37
04/06/2567,12:00,1.9
04/06/2567,11:00,1.45
04/06/2567,10:00,1.34
04/06/2567,9:00,1.45
04/06/2567,8:00,1.67
04/06/2567,7:00,1.94
04/06/2567,6:00,2.41
04/06/2567,5:00,2.84
04/06/2567,4:00,3.2
04/06/2567,3:00,3.5
04/06/2567,2:00,3.58
04/06/2567,1:00,3.57
04/06/2567,0:00,3.3
03/06/2567,23:00,3.06
03/06/2567,22:00,2.79
03/06/2567,21:00,2.64
03/06/2567,20:00,2.63
03/06/2567,19:00,2.81
03/06/2567,18:00,2.93
03/06/2567,17:00,3.09
03/06/2567,16:00,3.17
03/06/2567,15:00,3.11
03/06/2567,14:00,2.94
03/06/2567,13:00,2.67
03/06/2567,12:00,2.29
03/06/2567,11:00,1.9
03/06/2567,10:00,1.61
03/06/2567,9:00,1.6
03/06/2567,8:00,1.81
03/06/2567,7:00,2.06
03/06/2567,6:00,2.39
